Sl.No	Customer Name	Location	State	Contact Name	Contact Number	Email Id	GST NUMBER	#N/A
18	Alphaloop Solar LLP	Gurgaon	Haryana	Tarun	9971136369	info@loopsolar.com	06ABBFA1648N1ZE	Alphaloop Solar LLP , No.715, Emerald Plaza, Sector 65,, Gurgaon – 122102 (HR), Haryana
19	Alterenergyz	Mapusa, Goa 	Goa		8888788026 & 9423882473		30ABEFA4565H1ZR	ALTERENERGYZ, D - 206, Tamarind, Scenic Acres, Fatorda, Margao, GOA - 403602
20	Ampere and There Private Limited	Vesu	Gujarat	Ketan - 	9978685867	help@thesolarc.com	24AAPCA6129E1ZR	110, SNS Business Park, Opp. JH Ambani School, University Road, Vesu - 395007, Gujarat, Mr. Ketan - 9978685867
21	Amplus Energy	Bhopal, Madhya Pradhesh	Madhya Pradhesh	Mr. Gopal Sagitra    	91799 15139    	gopal.sagitra@amplussolar.com		Amudh Enterprises, AVMC Campus, Pondy Cuddalore Main Road,Kirumambakkam, Puducherry - 607 402
22	Amudh Enterprises	Pondicherry	Pondicherry	VASU	9842950019	amudhenterprises@gmail.com	34ABMFA9181D1ZD	"Amplus Energy Solutions Pvt Ltd , Shop no 203, Hamidia road  
 
 , Bhopal - 462001 
 
 , Madhya Pradesh, India."
23	Anish Sousa Enterprises	Mormugao, Goa	Goa				30AVJPM3535A1Z6	Anish Sousa Enterprises, 10/158/A, Menezes Sousa Building, Near Sanjivani Hospital,Vasco, Baina, Mormugao, Goa 403802
24	Anuj Sanitation	Ludhiana, Punjab	Punjab	Ms. Poonam : 	7508003154	glowrayssolar154@gmail.com		Mr. Sourabh Bajpai , Archita Renewable Energy , House No 286,W.No 33, Dwarka Bhawan , Moti Nagar, Pawar Layout , Awadhpur Balaghat - 481 001, Madya Pradesh , 7898727625
25	"ARCEDO SYSTEMS
	"	Mysore, Karnataka	Karnataka	Mr. Ramesh : 	99488 00645	"	gnrao@arcedo.net,  sandeep@arcedo.net"		"#82/2,10th cross,CBIroad,Ganganagar,Bangalore -560024.
 Contact – 080-48662721/+91 9886492661"
26	Archita Renewable Energy	Awadhpur Balaghat 	Madhya Pradhesh	Sourabh Bajpai	7898727625	saurabhbajpai_in@yahoo.com, saurabhbajpai1945@gmail.com	23AERPB2584F1ZM	Anuj Sanitation & Builders , Basant City,Threekay Road,, Back Side Keys Hotel,, Sua Road, Opp. Kwality departmental store., Ludhiana- 141012
27	Arham Energies	Bangalore, Karnataka	Karnataka	Mr. Hitesh 	9886492661	arhamenergies@gmail.com		Mr. Dendra Shetye ,Aries Industries ,42 /A2 Shah and Nahar Ind Estate, S.J.Marg, Dhanraj Mill Compound, Lower Parel West, Mumbai 400013 ,022-24976886
28	Aries Industries	Mumbai, Maharashtra	Maharashtra	Mr. Dendra Shetye   	022-24976886	devendra@ariesindustries.in	27ANSPS4951R1ZP	Arka Sustainable Energy Solution , 559A, Mali Gali, North Shivaji Nagar, Tal. Miraj, Dist Sangli, Maharashtra - 416416
29	Ark Solar Energy	Mumbai, Maharashtra	Maharashtra	Ankush Ahuja  	8806480480	aarkinternational480@gmail.com		"ARCEDO SYSTEMS
 
 , Plot No: 1486, #402, 4th Floor,, Amarendar Sunitha Homes, Beside Dollar Hills Road,, Pragathi Nagar, Telangana – 500 090, India."
30	Arken Solutions Pvt Ltd	Bangalore, Karnataka	Karnataka	Mr.Sampath Kumar - 	9000 54127		29AAICA0624R1Z9	Arken Solutions Pvt, Ltd, lV Floor, No, 16, Haudin Road, Bangalore-560042, Karnataka
31	Ashwamedha Energy & Infratech Pvt Ltd	Kundapura Taluk,, Karnataka	Karnataka	Shreya R 	9448440799	karthik.yadiyal@ashwamedha-energy.in	29AANCA9861B1ZC	Ashwamedha Energy & Infratech Pvt Ltd , No. 15, Durga Krupa Complex,, Main Road, Siddapura, Kundapura Taluk,, Udupi Dist, Karnataka - 576229
32	Ashwini Pawar	Auroville, Tamilnadu	Tamil Nadu	 Mr. Kaarthik	9789986736		URP	Ashwini Pawar, Kavadi Form, Auroville - 605111
33	Atonsys	Pune, Maharashtra	Maharashtra	Sachin Salavane   	9860204002	info@atonsys.com		#N/A
34	Attuned Energy	kerala	Kerala	 Mannatti Ravi   	8547855385			#N/A
35	Auriel Solar and Green Tech	Kerala	Maharashtra	Anil Crescent Roche 	9497841357	aurielsolar@gmail.com	32AZUPA3077A1ZQ	Mr.Anil , Auriel Solar Energy , Adarsh Building , Triveni Junction , Annanad P.O, Chalakudy, , Thrissur 680309, Kerala , 9497841357
36	Auroni Solar Energy	Sanjeevi Nagar, Puducherry 	Pondicherry	Sivangnanam  	8098782678	sivagnanam.auroni@gmail.com 	34BNVPS6384L1ZV	Sanjeevi Nagar, Puducherry - 605 111
37	Auroville Electrical Service (Dr)	Auroville, Tamilnadu	Tamil Nadu	Mr. Ramesh :  & Prasanna.	0413-2622264		33AAATA0037BPZ3	Auroville Electrical Service (Dr) , Service Area, Auroville - 605 101
38	Autotek Engineers	Jalna, Maharashtra	Maharashtra	Mr Gaur –	9595379379	autotek.engg@gmail.com	27BEKPG6906G2ZE	Autotek Engineers , No. 318, Venkateshwar Nagar, Mantha Naka,, Jalna – 431203, Maharashtra
39	AV Index Electrical & Electronics	Arani	Tamil Nadu	Shanmugam - 	9360082789		33BWOPS5413E1ZH	Arani, Mr.Shanmugam - 9360082789, AV Index Electrical & Electronics, Villima Street, Boomiyarpalayam,Vanur Tk, Villupuram District - 605104
40	AVN Automation and Solar	Jalore, Rajasthan	Rajasthan	Ajay Yadav - 90010 91680	 90010 91680	"	avnautomationsolar@gmail.com"	08AFXPY6695M1ZS	AVN Automation and Solar , A-1 Shivaji Nagar, Jalore, Rajasthan - 343001
41	Avyaya Technologies Pvt Ltd	Bangalore, Karnataka	Karnataka	Manohar	080 2310 0228	manohar@savitru.com; pns@savitru.com; ravindra@savitru.com	29AAICA4220D1Z2	Avyaya Technologies Pvt Ltd , No.5, 1st Floor, 3rd Cross,, 4th Main, Rajajinagar Indl Town, Bangalore - 560 044, Karnataka
42	Battery Bunk	Bangalore, Karnataka	Karnataka	Mr. Kiran Kumar -	7022227222	"	dharan.v08@gmail.com"	29AUEPK7318K3Z6	Battery Bunk , No. 125, 3rd main, 15th 'A' Cross,, B.S.K 3rd Stage TG Layout, Ittamadu, Bangalore -560085, Karnataka
43	BDNS Energy Solutions LLP (Extra Watts)	Kozhikodu, Kerala	Kerala	Mlohammad Rafi	7994000182	"	info@extrawatts.in"		Beacon Storage Systems Pvt Ltd , Piraroor P.O. Kalady,Angamaly, PIN - 683574, Kerala
44	Beacon Storage Systems Pvt Ltd	Kalady, Kerala	Kerala	Joe	99461 08507	Kuruvilla.joe@beaconpowersys.com	32AAHCB7636F1ZT	Bebin Joy, Mercury Energy Solutions, University Road, Edappally, Ernakulam - 682 022, Kerala
45	Bebin Joy	Ernakulam - 682 022	Kerala				URP	No: 25, Umar Pulavar Street, Kottakuppam - 605 104, Tamil Nadu, India.
46	Best Solar Power	Kottakuppam 	Tamil Nadu		9600975646		URP	Mr. Prastant Bhagwat , Bhagwat Energy Pvt. Ltd. , C1 706, Kamal Green Leaf, , Kirkatwadi, Pune 411041, Maharashtra , Mob: +91 9822435419
47	Bhagwat Energy	Pune, Maharashtra	Maharashtra	Mr. Prashant Bhagwat    	9822435419	prashant@bhagwatenergy.com		BHARAT SOLAR, ADDRESS - 111, ANAND NAGAR,CHITAWAD ROAD, INDORE, Madhya Pradesh- 452001
48	BHARAT SOLAR	INDORE, Madhya Pradesh	Madhya Pradhesh	Mr Agarwal 	7581804010	info@bharatsolar.co.in	23AVGPA2938N1ZK	BDNS Energy Solutions LLP , No. 1 / 345B. Near Kadavu Resort, NH Bye Pass, Azhinjilam, Kozhikode - 673632, Kerala
49	Bhaskar Solar			Mr. Bhaskar Kolambe	9130661555	bhaskarsolarpvtltd@gmail.com		A/1 indirasagar apartment R.N.T Road, Civil lines, Nagpur - 440 001, Maharashtra
50	Bijlee Led Lighting Pvt Ltd	Nagpur, Maharashtra	Maharashtra	Shiv sial 	9535348867	bijleesolar@gmail.	27AAGCB4178F1ZM	#N/A
51	Bonivo Solar Power Solutions	Trivandram, Kerala	Kerala	Mr. Rahul	9388881917	benivopowersolutions@gmail.com		BRILLO SOLAR PRIVATE LIMITED , BRINDAVAN BUSINESS CENTER,37/2400-A9,, GROUND FLOOR, MANIMALA ROAD,, EDAPALLY- 682024, Kerala
52	BRILLO SOLAR PRIVATE LIMITED	EDAPALLY, Kerala	Kerala	Prajan	9995323592	prajinlalp@gmail.com,sales@brillosolar.in	32AAJCB2420K1Z0	#12/303, Vellakinar Pirivu, G.N.Mills Post, Coimbatore - 641029, Tamilnadu
53	Cares Renewables Pvt Ltd	Coimbatore, Tamilnadu	Tamil Nadu	Siva	9003877641	siva@caresrenewables.com	33AAFCC2484E1ZY	CASA INFRATECH PRIVATE LIMITED , HOUSE NO.4, ARYAPALLI,PATIA,, BHUBANESWAR - 751 023, ODISHA
54	CASA INFRATECH PRIVATE LIMITED	Bhuvaneshwar, Odissa	Odissa	Manoj	 9040005874 & 9437005874	mkparichha@gmail.com	21AAECC0044R1ZT	#N/A
55	CELCO ENERGY CORPORATION	Thirivanandhapuram, Kerala	Kerala	Prajin – 	9995323592	celcoenergy@gmail.com	32ADBPT7399D1ZC	CELCO ENERGY CORPORATION , Muziris Nagar, Kodungallor, Kerala
56	Celestial Rene experts			John Melchizedek   	7358325836 / 7619193399	johnmelchizedek@cranfinia.com		Changela Sealing Solutions, Ground Floor, VIRAL PLAZA, Shop No 12,13,14, Near Bank of Baroda, GIDC Metoda,Rajkot, Gujarat - 360021
57	Changela Sealing Solutions	Rajkot, Gujarat	Gujarat	Mr. Mahesh: 	9737984777	finance@teknixgroup.com	24AELPP3339Q1ZU	Mr.Karan Chopda , Chirayu Power Pvt Ltd , No.C-1/1, MIDC, Near Law College, , Khamgaon - 444303, Maharashtra , 8888383033
58	Chirayu Power Pvt Ltd	Khamgaon -  Maharashtra,	Maharashtra	Karan Chopda Cell: -8888383033	Karan Chopda Cell: -8888383033	karan@chirayupower.com	27AAGCC3581P1Z3	Circuit , Vellaikkal House, Nellankara, Thrissur – 680651, Kerala
59	Circuit	Trissur, Kerala	Kerala	Mr Maniappan V- 94956 31938   	Mr Maniappan V- 94956 31938   	"	sales.circuits@gmail.com"	32AUZPV9689F1ZE	Clean Max Enviro Energy Solutions Pvt. , No. 48/13, 2nd Floor, 40th Cross, 3rd Main Road,, 8th Block Jayanagar, Bangalore – 560082, Karnataka
60	Clean Max Enviro Energy Solutions Pvt.	Bangalore, Karnataka	Karnataka	Shashikumar – 	9482943292	shashi.kumar@cleanmax.com	29AAECC1568J1ZE	Mr Aniket Jadhav , Conservit Power Solutions Private Limited , E Ward, 204, New Shahupuri, , Kolhapur, Maharashtra- 416001 , 70203 09081
61	Conservit Power Solutions Private Limited	Kolahpur, Maharastra	Maharashtra	Mr Aniket Jadhav 70203 09081	70203 09081	aniket@conservit.in	27AAJCC0426G1ZX	Cranfinia Energy Private Limited , #307, Vishnu Arcade, 3rd Cross, Shanboga Colony,Yemalur Main Road, Bangalore - 560037, Karnataka
62	Cranfinia Energy Pvt LTD	Bangalore, Karnataka	Karnataka	Kavitha John	John : 7358325836 / 7619193399	"johnmelchizedek@cranfinia.com>, ""rao.adithya"" <rao.adithya@cranfinia.com>,"		#N/A
63	Datum Energy Systems Private Limited	Pune, Maharashtra	Maharashtra	Bharat Phalak, 98231 35276	Bharat Phalak, 98231 35276	datumenergy@gmail.com	27AADCD2566N1ZA	Mr.Bharat ,Datum Energy Systems Private Limited ,3rd Floor, DATUM House, Plot No. 11, Lane No. 9, S.No. 6/6/1+6/7/7+6/10/4, Pakharbag, Bavdhan (KH), Pune 411021, Maharashtra , ,
64	Dehlsen Engineering LLP	Calicut, Kerala	Kerala	 Rijul Joseph 	8129736458	project@dehlsenengineering.com	32AAQFD3340L1ZE	Dehlsen Engineering LLP , Room No 7, Second Floor, Csi Shopping Complex,, Mananchira P. O, Calicut - 673001, Kerala
65	Devadutt Vasudevan	Kollam, Kerala	Kerala	Devadutt vasudevan	974 3306 7171	"	devadutt123@gmail.com"	URP	Devadutt Vasudevan , Devanivas, Vilavoorkonam PO, Kalluvathukkal, Kollam ,Kerala - 691578
66	Dhanashree Solar Electricals	Latur	Maharashtra	Mr. Suhant -	8805150900	desolarenergy@gmail.com		#N/A
67	Digilox Electronic Security Solution	 JALGAON	Maharashtra	 Mr Saurabh	96191 44233	"	digiloxess@gmail.com"	27AAJFD3513E1ZS	Mr Saurabh, Digilox Electronic Security Solution, WA 54/55 MIDC, JALGAON -425001, Maharashtra, 96191 44233
68	Diman Solar	Ahmadabad, Gujarat	Gujarat	 Vivek Fadadu	9265075722	purchase@dimansolar.com		#N/A
69	Dinkar Solar	Batala	Punjab	Mr. Dinkar Sally	7837870786	dinkarsolar@gmail.com		1st Floor, Beco Complex,G.T.Road, Batala ,Punjab,India
70	Diwakar Soltek Pvt Ltd	Bellary  - Karnataka	Karnataka	shreedhar		"
shreedhar@diwakarsoltek.com"	29AAGCD6972R1ZL	"Mr. Shreedhar , Diwakar Soltek Pvt Ltd , 2nd Floor, ' Surabhi Enclave"" , Patel Nagar, Hosapete - 583201, , Bellary District , Karnataka , 9448367433"
71	Druidic Energy Pvt Ltd	Kerala, Thiruvalla	Kerala	Harshali 	9920315267			Druidic Energy Pvt Ltd, Thekumthala building, 1st floor, Podipara junction, Eraviperoor, Kerala, Thiruvalla - 689542
72	Dry Solar Energy	Jaipur, Rajasthan	Rajasthan	Mr. Ravindra Sharma	8058598619	drysolar@yahoo.com		Eco Power Solutions, X/319, Kizhakkekera House, Kadayiruppu, Kadayiruppu, P.O, Ernakulam, Kerala, 682311
73	Eco Power Solutions	Ernakulam Dist 	Kerala	Mr Tharun 	9847661828		32GNUPS6847G1Z6	"No.1443, ""B"" Block, Railway Parallel Road, Sahakaranagar, Bangalore-560 092, Karnataka"
74	Ecosoch Solar Private Limited	Bangalore, Karnataka	Karnataka	Harsha-	9535240349	harsha@ecosoch.com	29AADCE8640G1ZH	EDSEL Energy Developers LLP, 3rd Floor Madukuvelil Complex, Pullad, Pathnamthitta, Thiruvalla- 689548, Kerala
75	EDSEL Energy Developers LLP	Pathnamthitta, Kerala	Kerala	Harshali Ranjith 	9920315267	"	Harshali@druidicenergy.com"	32AAHFE9958J1ZY	41, Shiv Kripa, Gulmohar Lane,, Sirsi Road, Khatipura, Jaipur - 302021 Rajasthan, Mr. Abhishek Agarwal, 9772983222
76	Electrum Power Infra Pvt Ltd	Jaipur, Rajasthan	Rajasthan	Mr. Abhishek Agarwal	9772983222		08AAECE6679E1ZD	Electrum Power Infra Pvt Ltd , 150, Janakpuri 2, Imliwala Phatak, Jaipur - 302 005
77	Electrum Solar	Jaipur, Rajasthan	Rajasthan	Abhishek Agarwal	9772983222			17/316,Shashtrinagar Khatodara Colony, Udhana Darwaja,surat-395002
78	Elinks Solar	Surat, Gujarat	Gujarat	Mr. Jaydeep	9727796006	elinksolar@gmail.com	 24AAHFE6831G2ZJ	Mr.Shiva , Elite Power Corporations, 3/528, KN Puram, Lakshmi Mills, Palladam - 642202, Tamil Nadu tele: 9384441279
79	Elite Power Corporations	Palladam, Tamil Nadu	Tamil Nadu	Shiva	9384441279	elitepowercorporations@gmail.com	33BLXPJ1500P1ZS	#N/A
80	Endaver Solutions	Nagpur, Maharashtra	Maharashtra	Sagar Patel	9423158298	shriganeshenterprisesjln@gmail.com 		Mr.Sagar Patel ,Endeavour Solutions, ,Vyankatesh Nagar, Building No. E6, Flat No.34 , Near KDK College, Nandanvan, Nagpur-440009, ,Maharashtra, India ,9272091666
81	ENNEXT RENEWABLE SOLUTIONS PVT LTD 	Bangalore, Karnataka	Karnataka	Mr. Biju PC	97319 41800	biju.pc@ennext.in	29AAFCE4382B1ZQ	NO. 37 & 38 RR Complex,Opp to Bharath Seva Ashram Jakkur,Amruthahalli Main Road,Navyanagara Jakkur, Bangalore-560064
82	ENRG VISION LLP	Vadodara Gujarat	Gujarat	JAYKUMAR RAMESHBHAI PATEL / RAJENDRA VINODBHAI DARJI	9099680028	energy.vision20@gmail.com	24AAIFE3766H1ZD	ENRG VISION LLP , SF28, Kasper Square Opp. Gangotri Exotiva,, 30 Mtr Gotri Laxmipura Road, Gotri, , VADODARA - 390021
83	Enthinks Energy Solutions	Kadambode, Kerala	Kerala	Arun	9048452552	enthinks.in@gmail.com	32AXTPT8941R1Z6	6/592C, Kadambode Po,Pandikkad via 676 521, Kerala
84	Eshaan Energy  Pvt Ltd	Vijawada, Andra	Andra Pradesh	RTN PHF B.Phani Chandra	Mr Saurabh - 8275398277, 7769985558	phanichandrab@yahoo.com		E-Solution Renewables , Sancheti Apartment, Rachana High School,, Off Sharanpur Road,, Nashik 422002, Maharashtra
85	E-Solution Renewables	Nasik , Maharashtra	Maharashtra	 Rushab - 9665331514	 Rushab - 9665331514	"	Esolution.nsk@gmail.com; rushab@move2solar.in"	27AAGFE1734R1Z0	#N/A
86	Ete Energy 	Bhuvaneshwar, Odissa	Odissa	Subhash Sahu   	8114394947			Mr. Krishna Thimmaiah , Evervolt green energy , Unit 104, 1st Floor. Earthen Phoenix. , 10th E Crodd, Nagavarapalya, CV , Ramannagar Post , Bangalore - 560 093 , 9880710526
87	Evervolt Green Energy Pvt Ltd	Bangalore, Karnataka	Karnataka	Krishna : 	9880710526	krishna@evervolt.in	29AADCE4893P1ZR	No.16, Maniam Kaliappa Street, Sai Baba Colony, Coimbatore-641 038. Tamilnadu
88	Ex Solar Energy			Mr. Ashish    	8114826766			Exsun Power Infrastructure Pvt Ltd, No.IV/219,B4, Pala Road, Chunkam,Kolani P.O, Thodupuzha - 685 584
89	Exclamatory Energy 	Coimbatore, Tamilnadu	Tamil Nadu	Ravi   : 	9442339728	ravikumarhalan@gmail.com	33LLNPS3700G1ZW	Fairdeal Solar , First Floor, Red Cross Bhawan, Opp Jayant Talkies, Chandrapur, Maharashtra - 442402
90	Exsun Power Infrastructure Pvt Ltd	Thodupuzha, Kerala	Kerala	Anand	9745994439;  9662211099	exsunpowerltd@gmail.com	32AAFCE0093B1ZB	No. 135, Pushkar Industrial Estate, Phase I, Vatva GIDC,Ramol - Vatva Road,Ahmedabad - 382445, Gujarat
91	Fairdeal Solar	Maharashtra	Maharashtra	.Ajay	9423418669, 9766224822	"	fairdealsolarchanda@gmail.com"	27AAFFF5472Q1ZR	FigTips India Pvt Ltd , C-96, Shivalik, Lower Ground floor,, Near J&K Bank, New Delhi - 110017
92	FARMSON ENVIRO CARE	Gujarat	Maharashtra	Hitesh Prajapati, 	9687692154,91 79 40305916,	purchase.pv@farmsonsolar.com,  account@farmsonsolar.com,	24AABFF1170F1Z1	Forest Way Trust, Arunagiri Children Park, Opp Government Arts College, Chengam Road, Tiruvannamalai - 606603
93	FigTips India Pvt Ltd	New Delhi	New Delhi	Kunal Wadhwa :	9810022081	"	kunal@figtips.com"	07AADCF7237J1ZG	Eshaan Energy , Flat No 210, APHB Towers,, Opp GVR Music College,, BRTS Road,Vijayawada - 520003
94	Forest Way Trust	Thiruvannamalai	Tamil Nadu	Mr. Parasuraman - Arun	9943139267;9789841616		URP	Plot No.3, Hindustan Colony,, Wardha Road, Nagpur - 440015, Maharashtra, Shripal - 9763410000, 9403410000
95	Fortune Energy Solution LLP	Nagpur, Maharashtra	Maharashtra	Shripal -	 9763410000, 9403410000	shripal@fortuneenergy.in	27AAEFF8801C1ZQ	Plot No.N 45, H.No.4-9-10., HMT Nagar, Nacharam, Hyderabad-500076, Telangana
96	Fourth Partner Energy Pvt Ltd	Hyderabad, Telangana	Telangana	Anusha Vanga / Rohit ratchala	 9948496236 & '014027158865	rohitrachala@fourthpartner.co.	36AABCF6092M1Z8	Fourth Partner Energy Pvt Ltd -MH , No.1, 5th Floor, Down Town City, Vista, Fountain Road, Kharadi,, Pune - 411014, Maharashtra, India
97	Fourth Partner Energy Pvt Ltd -MH	Hyderabad, Telangana	Telangana	Anusha Vanga -	 9948496236 & '014027158865	rohitrachala@fourthpartner.co.	27AABCF6092M1Z7	#N/A
98	Frontline Systems and Services Pvt Ltd.	Porur, Chennai	Tamil Nadu	Venkatraman	9444020318;    044-22522500	venkat@frontlineups.com	33AAACF5213F1Z9	Venkat , Frontline Systems and Services Pvt Ltd. , Plot No.3, 2nd Cross Street, , 1st Main Road, Mangala Nagar- Porur , Chennai – 600 116 , 9444020318
99	Furbo Security Solutions Pvt Ltd	Cochin, Kerala	Kerala		"0484 2356513, 2317813				
, 8593004955"	amsonups@gmail.com 	32AABCF6543R1ZA	"46/60, 2nd Floor, Karthika Apartments, Panapilly Nagar, Cochin - 682036, Kerala, 0484 2356513, 2317813 
 
 , 8593004955"
100	Future Energy Resource Team	Veliyadhunadu, Kerala	Kerala	Shani Rajeev; Madhu.B	9544 302 111 ; 8547 853835 ; Madhu.B. (Contact No. +91 8547 853835) 	 shani.rajeev@fertworld.com	32AADFF3409P1ZF	Future Energy Resource Team , HQ: #57 Bodhi Nagar, Thattamala, Kollam – 691 020, Kerala
101	Gadgeon Lifestyle Pvt Ltd	Cohin, Kerala	Kerala	Ragesh 9633186217	9633186217	finance@gadgeon.com; solar@gadgeon.com	32AAGCG5436M1ZG	Gadgeon Lifestyle Pvt Ltd , VI/405-E6, Off Seaport-Airport Road, Fathima Tower, Malepally Road, Thirkkakara P O, Kochi-682021
102	Geeta Solar	JALGAON	Maharashtra	Mukesh   	9823022259			Mr.Mukesh Supanrkar ,Geeta Solar ,GEETA SOLAR SYSTEMS M- 132, ,Behind Godawari Engineering College, MIDC, ,Jalgaon-425003, Maharashtra, India ,9422031811
103	GEETHANJALI ENGINEERING	Coimbatore, Tamilnadu	Tamil Nadu	P.Shelliya	9842856341, 9965556341	geethengg@gmail.com	33CXNPS5911E1ZC	No.6/290 , P.G Pudur, Masagoundenchettipalayam, Kovilpalayam, Coimbatore - 641 107, Tamilnadu
104	GENISYS SOLAR	Alankuppam, Pondicherry	Pondicherry	Sivamani.R	9751531511	avshivam@gmail.com	34CULPS5973H1ZY	Plot No. 4, J.M.J. Mother Land, Alankuppam, Puducherry - 605 111
105	Gewis solar	Pune, Maharashtra	Maharashtra	Amrut	8885856008	amrut.moharir@gewisrenew.com		#N/A
106	Gigawatt solar 	Hyderabad	Telangana	Mr. Rajesh Parakala	9966489966	rajeshp@gigawattsolar.in		#N/A
107	Global Energy Solutions	Bangalore, Karnataka	Karnataka	Mr. Biju   	9731941800		29AFEPC0108G1Z2	42 & 43, 4th cross, Bhuvaneshwari Nagara,Bangalore - 560024
108	GMR Solar			Mr. Ramesh	9043048653			No. 175/1-2, M.G Road,Villupuram-605 602, TamilNadu, India.
109	G-Nexter Energies,	Villupuram ,tamil Nadu	Tamil Nadu	  J.Mohammad Riaz,	 04146-223386, 99941 90901	gnexterenergies@gmail.com	33AUUPM6894J1ZO	Mr. Mabin , GoGreen Solar (P) Ltd , 1622/E AKKM Tower, , 9526236777
110	GoGreen Solar (P) Ltd	Cochin, Kerala	Kerala	Mr.Shadik - 8075893119	Mabin, 9526236777	mabin@gogreenpv.com; finance@gogreenpv.com	32AAFCG1319Q1ZJ	VISHWAKALYAN, 4th Floor, S.No. 149/3 Off ITI Road, Near Parihar Chowk , Aundh Pune - 411 007
